state,year,quartile,gender,life_expectancy
in,2007,1,male,74.687958
in,2008,1,male,74.13517
in,2009,1,male,73.421783
in,2010,1,male,74.473618
in,2011,1,male,74.072662
in,2012,1,male,73.410461
in,2013,1,male,75.164886
in,2014,1,male,74.705261
ia,2001,1,male,77.771507
ia,2002,1,male,76.471901
ia,2003,1,male,76.155418
ia,2004,1,male,76.841316
ia,2005,1,male,76.408096
ia,2006,1,male,75.030052
ia,2007,1,male,76.946541
ia,2008,1,male,75.658981
ia,2009,1,male,75.071236
ia,2010,1,male,76.968582
ia,2011,1,male,75.793274
ia,2012,1,male,75.993256
ia,2013,1,male,75.101448
ia,2014,1,male,74.040474
ks,2001,1,male,74.751694
ks,2002,1,male,75.340492
ks,2003,1,male,74.42794
ks,2004,1,male,76.122993
ks,2005,1,male,76.551781
